IUCR,Primary Type,Description,FBI Code
1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,11
1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,11
1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,12
1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,11
1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,11
1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,11
1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11
1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,11
1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,11
1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,11
1170,DECEPTIVE PRACTICE,IMPERSONATION,11
1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,11
1187,DECEPTIVE PRACTICE,STATE BENEFITS FRAUD,11
1195,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,11
1200,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,13
1205,DECEPTIVE PRACTICE,"THEFT BY LESSEE, NON-MOTOR VEHICLE",11
1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",11
1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,11
1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,11
1230,DECEPTIVE PRACTICE,POSSESS KEYS OR DEVICE TO COIN MACHINE,11
1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,11
1241,DECEPTIVE PRACTICE,AGGRAVATED COMPUTER TAMPERING,11
1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,11
1245,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES,11
1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,11
1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,14
1310,CRIMINAL DAMAGE,TO PROPERTY,14
1320,CRIMINAL DAMAGE,TO VEHICLE,14
1330,CRIMINAL TRESPASS,TO LAND,26
1335,CRIMINAL TRESPASS,TO AIRPORT,26
1340,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,14
1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,14
1350,CRIMINAL TRESPASS,TO STATE SUP LAND,26
1360,CRIMINAL TRESPASS,TO VEHICLE,26
1365,CRIMINAL TRESPASS,TO RESIDENCE,26
1370,CRIMINAL DAMAGE,TO FIRE FIGHT.APP.EQUIP,14
1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,14
141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,15
141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,15
141C,WEAPONS VIOLATION,UNLAWFUL USE - OTHER DANGEROUS WEAPON,15
142A,WEAPONS VIOLATION,UNLAWFUL SALE - HANDGUN,15
142B,WEAPONS VIOLATION,UNLAWFUL SALE - OTHER FIREARM,15
1435,WEAPONS VIOLATION,UNLAWFUL SALE - DELIVERY OF FIREARM AT SCHOOL,15
143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,15
143B,WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,15
143C,WEAPONS VIOLATION,UNLAWFUL POSSESSION - AMMUNITION,15
1460,WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,15
1476,WEAPONS VIOLATION,USE OF METAL PIERCING BULLETS,15
1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,15
1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,15
1479,CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE,15
1480,CONCEALED CARRY LICENSE VIOLATION,OTHER,15
1481,NON-CRIMINAL,CONCEALED CARRY LICENSE REVOCATION,15
1504,SEX OFFENSE,SOLICITATION OF A SEXUAL ACT,17
1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,16
1507,PROSTITUTION,SOLICIT OFF PUBLIC WAY,16
1512,PROSTITUTION,SOLICITING FOR A PROSTITUTE,16
1513,PROSTITUTION,SOLICITING FOR BUSINESS,16
1515,PROSTITUTION,PANDERING,16
1518,OBSCENITY,POST GRAPHIC INFO PORGNOGRAPHIC INTERNET OR POSS GRAPHIC INF,17
1530,PROSTITUTION,PIMPING,16
1535,OBSCENITY,OBSCENITY,17
1536,PUBLIC INDECENCY,LICENSED PREMISE,17
1537,OFFENSE INVOLVING CHILDREN,POSSESSION OF PORNOGRAPHIC PRINT,26
1540,OBSCENITY,OBSCENE MATTER,26
1541,OBSCENITY,SALE / DISTRIBUTE OBSCENE MATERIAL TO MINOR,26
1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,17
1549,PROSTITUTION,OTHER PROSTITUTION OFFENSE,16
1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,17
1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,17
1564,SEX OFFENSE,CRIMINAL TRANSMISSION OF HIV,17
1565,SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,17
1566,SEX OFFENSE,INDECENT SOLICITATION OF AN ADULT,17
1570,SEX OFFENSE,PUBLIC INDECENCY,17
1573,SEX OFFENSE,CRIMINAL SEXUAL ABUSE - SEXUAL PENETRATION,17
1574,SEX OFFENSE,FORNICATION,17
1580,SEX OFFENSE,SEXUAL RELATIONS IN FAMILY,17
1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,17
1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,17
1585,SEX OFFENSE,OTHER,17
1590,SEX OFFENSE,ATTEMPT AGGRAVATED CRIMINAL SEXUAL ABUSE,17
1599,SEX OFFENSE,AGG CRIM SEX ABUSE - VIC 13-16 YOA - OFF 5 YR OLDER PENETRAT,17
1661,GAMBLING,GAME/DICE,19
1680,GAMBLING,OTHER,19
1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,20
1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE TO THE DELINQUENCY OF CHILD,20
1725,OFFENSE INVOLVING CHILDREN,CONTRIBUTE TO THE CRIMINAL DELINQUENCY OF CHILD,20
1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,08B
1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17
1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17
1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02
1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02
1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,20
1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,20
1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,26
1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,20
1792,KIDNAPPING,CHILD ABDUCTION / STRANGER,26
1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,18
1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,18
1821,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,18
1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,18
1840,NARCOTICS,DELIVER CANNABIS TO PERSON UNDER 18,18
1850,NARCOTICS,CANNABIS PLANT,18
1860,NARCOTICS,CALCULATED CANNABIS CONSPIRACY,18
1900,OTHER NARCOTIC VIOLATION,INTOXICATING COMPOUNDS,18
2010,NARCOTICS,MANUFACTURE / DELIVER - AMPHETAMINES,18
2011,NARCOTICS,MANUFACTURE / DELIVER - BARBITURATES,18
2012,NARCOTICS,MANUFACTURE / DELIVER - COCAINE,18
2013,NARCOTICS,MANUFACTURE / DELIVER - HEROIN (TAN / BROWN TAR),18
2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),18
2015,NARCOTICS,MANUFACTURE / DELIVER - HALLUCINOGEN,18
2016,NARCOTICS,MANUFACTURE / DELIVER - PCP,18
2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,18
2018,NARCOTICS,MANUFACTURE / DELIVER - SYNTHETIC DRUGS,18
2020,NARCOTICS,POSSESS - AMPHETAMINES,18
2021,NARCOTICS,POSSESS - BARBITURATES,18
2022,NARCOTICS,POSSESS - COCAINE,18
2023,NARCOTICS,POSSESS - HEROIN (TAN / BROWN TAR),18
2024,NARCOTICS,POSSESS - HEROIN (WHITE),18
2025,NARCOTICS,POSSESS - HALLUCINOGENS,18
2026,NARCOTICS,POSSESS - PCP,18
2027,NARCOTICS,POSSESS - CRACK,18
2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,18
2029,NARCOTICS,POSSESS - HEROIN (BLACK TAR),18
2031,NARCOTICS,POSSESS - METHAMPHETAMINE,18
2032,NARCOTICS,MANUFACTURE / DELIVER - METHAMPHETAMINE,18
2033,NARCOTICS,MANUFACTURE / DELIVER - SYNTHETIC MARIJUANA,18
2040,NARCOTICS,POSSESS - LOOK-ALIKE DRUGS,18
2050,NARCOTICS,CRIMINAL DRUG CONSPIRACY,18
2090,NARCOTICS,ALTER / FORGE PRESCRIPTION,18
2091,NARCOTICS,FORFEIT PROPERTY,18
2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,18
2093,NARCOTICS,FOUND SUSPECT NARCOTICS,18
2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,18
2160,NARCOTICS,SALE / DELIVER - DRUG PARAPHERNALIA,26
2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,18
2210,LIQUOR LAW VIOLATION,SELL / GIVE / DELIVER LIQUOR TO MINOR,22
2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,22
2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,22
2240,LIQUOR LAW VIOLATION,MINOR MISREPRESENT AGE,22
2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,22
2251,LIQUOR LAW VIOLATION,EMPLOY MINOR,22
2820,OTHER OFFENSE,TELEPHONE THREAT,08A
2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,26
2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,26
2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,17
2840,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,24
2850,PUBLIC PEACE VIOLATION,BOMB THREAT,24
2851,PUBLIC PEACE VIOLATION,ARSON THREAT,24
2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,24
2870,PUBLIC PEACE VIOLATION,PEEPING TOM,24
2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,24
2895,PUBLIC PEACE VIOLATION,INTERFERE WITH EMERGENCY EQUIPMENT,24
2896,PUBLIC PEACE VIOLATION,TIRE DEFLATION DEVICE DEPLOYMENT,24
2900,WEAPONS VIOLATION,UNLAWFUL USE / SALE OF AIR RIFLE,15
3000,PUBLIC PEACE VIOLATION,SELL / ADVERTISE FIREWORKS,26
3100,PUBLIC PEACE VIOLATION,MOB ACTION,24
3200,PUBLIC PEACE VIOLATION,ARMED VIOLENCE,26
3300,PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION,24
3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,24
3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,24
3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,24
3750,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE,24
3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,24
3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,26
3910,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY,26
3920,INTERFERENCE WITH PUBLIC OFFICER,OFFICIAL MISCONDUCT,26
3960,INTIMIDATION,INTIMIDATION,08A
3961,INTIMIDATION,INTIMIDATION OF LAW ENFORCEMENT OFFICIAL,08A
3970,INTIMIDATION,EXTORTION,26
4210,KIDNAPPING,KIDNAPPING,26
4220,KIDNAPPING,AGGRAVATED,26
4230,KIDNAPPING,UNLAWFUL RESTRAINT,26
4240,KIDNAPPING,FORCIBLE DETENTION,26
4255,KIDNAPPING,UNLAWFUL VISITATION INTERFERENCE,26
4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,26
4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,26
4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,26
4388,OTHER OFFENSE,VIOLATION OF BAIL BOND - DOMESTIC VIOLENCE,26
4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,26
4510,OTHER OFFENSE,PROBATION VIOLATION,26
4625,OTHER OFFENSE,PAROLE VIOLATION,26
4650,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,26
4651,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,26
4652,OTHER OFFENSE,SEX OFFENDER - PROHIBITED ZONE,26
4800,OTHER OFFENSE,MONEY LAUNDERING,26
4810,OTHER OFFENSE,COMPOUNDING A CRIME,26
4860,OTHER OFFENSE,BOARD PLANE WITH WEAPON,26
5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,26
5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,26
5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,26
5003,OTHER OFFENSE,OTHER ARSON / EXPLOSIVE INCIDENT,26
5004,SEX OFFENSE,ATTEMPT CRIMINAL SEXUAL ABUSE,17
5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,26
5009,OTHER OFFENSE,VIOLATION OF SMOKING BAN,26
500E,OTHER OFFENSE,EAVESDROPPING,26
500N,OTHER OFFENSE,ABUSE / NEGLECT - CARE FACILITY,26
5011,OTHER OFFENSE,LICENSE VIOLATION,26
5013,OTHER OFFENSE,VIOLATION OF SUMMARY CLOSURE,26
501A,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,26
501H,OTHER OFFENSE,HAZARDOUS MATERIALS VIOLATION,26
502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,26
502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,26
502T,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,26
5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,26
5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,26
5112,OTHER OFFENSE,GUN OFFENDER - DUTY TO REPORT CHANGE OF INFORMATION,26
5121,OTHER OFFENSE,ARSONIST - ANNUAL REGISTRATION,26
5130,OTHER OFFENSE,VIOLENT OFFENDER - DUTY TO REGISTER,26
5131,OTHER OFFENSE,VIOLENT OFFENDER - ANNUAL REGISTRATION,26
5132,OTHER OFFENSE,VIOLENT OFFENDER - FAIL TO REGISTER NEW ADDRESS,26
